name,source,rarity,reqAttune,bonusSpellAttack,bonusSpellSaveDc,description
Cone of Fear,DMG,rare,by all race,,,"[""While holding the wand, you can use an action to expend 2 charges, causing the wand's tip to emit a 60-foot cone of amber light. Each creature in the cone must succeed on a DC 15 Wisdom saving throw or become {@condition frightened} of you for 1 minute. While it is {@condition frightened} in this way, a creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the {@action Dash} action or try to escape from an effect that prevent it from moving. If it has nowhere it can move, the creature can use the {@action Dodge} action. At the end of each of its turns, a creature can repeat the saving throw, ending the effect on itself on a success.""] "
Wand of Fear,DMG,rare,by all race,,," This wand has 7 charges for the following properties. It regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Wand of Fireballs,DMG,rare,by a spellcaster,,," This wand has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the {@spell fireball} spell (save DC 15) from it. For 1 charge, you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend. The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Wand of Lightning Bolts,DMG,rare,by a spellcaster,,," This wand has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the {@spell lightning bolt} spell (save DC 15) from it. For 1 charge, you cast the 3rd-level version of the spell. You can increase the spell slot level by one for each additional charge you expend. The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Wand of Magic Detection,DMG,uncommon,False,,," This wand has 3 charges. While holding it, you can expend 1 charge as an action to cast the {@spell detect magic} spell from it. The wand regains {@dice 1d3} expended charges daily at dawn. "
Wand of Magic Missiles,DMG,uncommon,False,,," This wand has 7 charges. While holding it, you can use an action to expend 1 or more of its charges to cast the {@spell magic missile} spell from it. For 1 charge, you cast the 1st-level version of the spell. You can increase the spell slot level by one for each additional charge you expend. The wand regains {@dice 1d6 + 1} expended charges daily at dawn. If you expend the wand's last charge, roll a {@dice d20}. On a 1, the wand crumbles into ashes and is destroyed. "
Random Properties,DMG,artifact,by all race,,,"['The Wand of Orcus has the following random properties:', {'type': 'list', 'items': ['2 {@table Artifact Properties; Minor Beneficial Properties}', '1 {@table Artifact Properties; Major Beneficial Properties}', '2 {@table Artifact Properties; Minor Detrimental Properties}', '1 {@table Artifact Properties; Major Detrimental Properties}']}, 'The detrimental properties of the Wand of Orcus are suppressed while the wand is attuned to {@creature Orcus} himself.'] "
Protection,DMG,artifact,by all race,,,['You gain a +3 bonus to Armor Class while holding the wand.'] 
Spells,DMG,artifact,by all race,,,"['The wand has 7 charges. While holding it, you can use an action and expend 1 or more of its charges to cast one of the following spells (save DC 18) from it: {@spell animate dead} (1 charge), {@spell blight} (2 charges), {@spell circle of death} (3 charges), {@spell finger of death} (3 charges), {@spell power word kill} (4 charges), or {@spell speak with dead} (1 charge). The wand regains {@dice 1d4 + 3} expended charges daily at dawn.', ""While attuned to the wand, {@creature Orcus} or a follower blessed by him can cast each of the wand's spells using 2 fewer charges (minimum of 0).""] "
Call Undead,DMG,artifact,by all race,,,"[""While you are holding the wand, you can use an action to conjure {@creature skeleton} and {@creature zombie}, calling forth as many of them as you can divide 500 hit points among, each undead having average hit points. The undead magically rise up from the ground or otherwise form in unoccupied spaces within 300 feet of you and obey your commands until they are destroyed or until dawn of the next day, when they collapse into inanimate piles of bones and rotting corpses. Once you use this property of the wand, you can't use it again until the next dawn."", ""While attuned to the wand, {@creature Orcus} can summon any kind of undead, not just skeletons and zombies. The undead don't perish or disappear at dawn the following day, remaining until {@creature Orcus} dismisses them.""] "
Sentience,DMG,artifact,by all race,,,"['The Wand of Orcus is a sentient, chaotic evil item with an Intelligence of 16, a Wisdom of 12, and a Charisma of 16. It has hearing and {@sense darkvision} out to a range of 120 feet.', 'The wand communicates telepathically with its wielder and can speak, read, and understand Abyssal and Common.'] "
Personality,DMG,artifact,by all race,,,"[""The wand's purpose is to help satisfy {@creature Orcus} desire to slay everything in the multiverse. The wand is cold, cruel, nihilistic, and bereft of humor. In order to further its master's goals, the wand feigns devotion to its current user and makes grandiose promises that it has no intention of fulfilling, such as vowing to help its user overthrow {@creature Orcus}.""] "
Destroying the Wand,DMG,artifact,by all race,,,"[""Destroying the Wand of Orcus requires that it be taken to the Positive Energy Plane by the ancient hero whose skull surmounts it. For this to happen, the long-lost hero must first be restored to life—no easy task, given the fact that {@creature Orcus} has imprisoned the hero's soul and keeps it hidden and well guarded."", ""Bathing the wand in positive energy causes it to crack and explode, but unless the above conditions are met, the wand instantly reforms on {@creature Orcus} layer of the Abyss.""] "
Wand of Orcus,DMG,artifact,by all race,,," The ghastly Wand of Orcus rarely leaves {@creature Orcus} side. The device, as evil as its creator, shares the demon lord's aims to snuff out the lives of all living things and bind the Material Plane in the stasis of undeath. {@creature Orcus} allows the wand to slip from his grasp from time to time. When it does, it magically appears wherever its master senses an opportunity to achieve some fell goal. Made from bones as hard as iron, the wand is topped with a magically enlarged skull that once belonged to a human hero slain by {@creature Orcus}. The wand can magically change in size to better conform to the grip of its user. Plants wither, drinks spoil, flesh rots, and vermin thrive in the wand's presence. Any creature besides {@creature Orcus} that tries to attune to the wand must make a DC 17 Constitution saving throw. On a successful save, the creature takes {@damage 10d6} necrotic damage. On a failed save, the creature dies and rises as a {@creature zombie}. In the hands of one who is attuned to it, the wand can be wielded as a magic {@item mace} that grants a +3 bonus to attack and damage rolls made with it. The wand deals an extra {@damage 2d12} necrotic damage on a hit. "
